index,method,RMSE,MAE,QLIKE
EURO STOXX 50,Historical,1.6673708479500549,1.1409811611733245,1.1792392676083578
EURO STOXX 50,EWMA,1.6547772746535767,1.138115602209647,1.179924810868132
EURO STOXX 50,"GARCH(1,1)",1.6511266333654726,1.135138669468188,1.172806180891595
FTSE 100,Historical,2.981462130910531,1.9614883365422697,1.6629479723356884
FTSE 100,EWMA,2.9583821519993783,1.9517946451619201,1.6539019348551536
FTSE 100,"GARCH(1,1)",2.9488050665060217,1.9408024137469768,1.6470170090852165
Nikkei 225,Historical,2.867866256367836,1.854633208484945,1.5923351605896447
Nikkei 225,EWMA,2.8516114761987166,1.8501786416092734,1.5838254459158645
Nikkei 225,"GARCH(1,1)",2.8375617772640878,1.8829547795433124,1.5707346440650232
S&P 500,Historical,2.353967626453805,1.6008615929751802,1.5178755116399942
S&P 500,EWMA,2.3395606512190783,1.5790160885597433,1.5066835652424069
S&P 500,"GARCH(1,1)",2.319739994395231,1.5502003330351701,1.4893797790609955
